,attachments,bot_id,comment,display_as_bot,edited,file,inviter,is_intro,is_multiteam,is_thread_broadcast,item,item_type,last_read,name,new_broadcast,old_name,parent_user_id,pinned_to,plain_text,purpose,reactions,replies,reply_count,root,slog_is_mpdm,slog_is_self_dm,slog_is_shared,slog_is_slackbot_dm,subscribed,subtype,text,thread_ts,timestamp,ts,type,unread_count,upload,upload_reply_to,user,username
17,"[{u'fallback': u'[April 19th, 2017 7:57 AM] preethiraghavan1: Hi <@U3F1AHRHT>  Someone probably asked this question earlier. Till when can we access zipfian and galvanize repositories in git hub', u'author_link': u'https://gstudents.slack.com/team/preethiraghavan1', u'is_thread_root_unfurl': True, u'text': u'Hi <@U3F1AHRHT>  Someone probably asked this question earlier. Till when can we access zipfian and galvanize repositories in git hub', u'footer': u'1 reply', u'ts': u'1492613877.465884', u'author_name': u'Preethi Raghavan', u'channel_name': u'sf_ds_g35', u'channel_id': u'G34LMLH32', u'is_msg_unfurl': True, u'mrkdwn_in': [u'text'], u'author_subname': u'preethiraghavan1', u'from_url': u'https://gstudents.slack.com/archives/G34LMLH32/p1492613877465884', u'author_icon': u'https://secure.gravatar.com/avatar/b4d03042d76ac46f5d3b36e1a4bdfcd5.jpg?s=48&d=https%3A%2F%2Fa.slack-edge.com%2F66f9%2Fimg%2Favatars%2Fava_0002-48.png', u'id': 1}, {u'author_link': u'https://gstudents.slack.com/team/jennyengard', u'text': u'Hey <@U3P1FCSTT>! You have unlimited access to these repositories; we do not remove your GH access after graduation.', u'ts': u'1492618470.753648', u'author_name': u'Jenny Engard', u'mrkdwn_in': [u'text'], u'from_url': u'https://gstudents.slack.com/archives/G34LMLH32/p1492618470753648?thread_ts=1492613877465884&cid=G34LMLH32', u'author_subname': u'jennyengard', u'fallback': u'Hey <@U3P1FCSTT>! You have unlimited access to these repositories; we do not remove your GH access after graduation.', u'author_icon': u'https://avatars.slack-edge.com/2016-12-15/116862871329_c14948845ea90650c08d_48.jpg', u'id': 2}]",,,,,,,,0,1,,,,,1,,,,Hey <@U3P1FCSTT>! You have unlimited access to these repositories; we do not remove your GH access after graduation.,,,,,,0,0,0,0,,reply_broadcast,,,14:30.8,"Wednesday, 19 April 2017",message,,,,U3F1AHRHT,
18,,,,,,,,,,,,,,,,,,,,,,,,"{u'thread_ts': u'1492613877.465884', u'subscribed': False, u'text': u'Hi <@U3F1AHRHT>  Someone probably asked this question earlier. Till when can we access zipfian and galvanize repositories in git hub', u'ts': u'1492613877.465884', u'unread_count': 2, u'reply_count': 2, u'user': u'U3P1FCSTT', u'replies': [{u'user': u'U3F1AHRHT', u'ts': u'1492618470.753648'}, {u'user': u'U3P1FCSTT', u'ts': u'1492619185.079518'}], u'type': u'message'}",,,,,,thread_broadcast,Hey <@U3P1FCSTT>! You have unlimited access to these repositories; we do not remove your GH access after graduation.,1492613877,,"Wednesday, 19 April 2017",message,,,,U3F1AHRHT,
19,,,,,,,,,,,,,,,,,,,,,,"[{u'user': u'U3F1AHRHT', u'ts': u'1492618470.753648'}, {u'user': u'U3P1FCSTT', u'ts': u'1492619185.079518'}]",2,,,,,,0,,Hi <@U3F1AHRHT>  Someone probably asked this question earlier. Till when can we access zipfian and galvanize repositories in git hub,1492613877,,"Wednesday, 19 April 2017",message,2,,,U3P1FCSTT,
20,"[{u'thumb_height': 250, u'thumb_url': u'https://avatars2.githubusercontent.com/u/11200672?v=3&s=400', u'thumb_width': 250, u'title': u'lemurey/download_slack_messages', u'service_name': u'GitHub', u'title_link': u'https://github.com/lemurey/download_slack_messages', u'text': u'download_slack_messages - Script for downloading slack messages by channel', u'from_url': u'https://github.com/lemurey/download_slack_messages', u'fallback': u'GitHub: lemurey/download_slack_messages', u'service_icon': u'https://a.slack-edge.com/bfaba/img/unfurl_icons/github.png', u'id': 1}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<https://github.com/lemurey/download_slack_messages>,,,"Tuesday, 18 April 2017",message,,,,U1UCMPKPU,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Take some pics!!,,,"Tuesday, 18 April 2017",message,,,,U3GEBV00H,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!channel> 312 2 mins,,,"Tuesday, 18 April 2017",message,,,,U1UCK7AAW,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!channel> 20 mins,,,"Tuesday, 18 April 2017",message,,,,U1UCK7AAW,
24,,,,0,,"{u'initial_comment': {u'comment': u'<!channel> Here's some notes on how to get an app running on aws.', u'created': 1492554871, u'timestamp': 1492554871, u'is_intro': True, u'user': u'U1UCK7AAW', u'id': u'Fc50C2NCRE', u'channel': u''}, u'filetype': u'markdown', u'lines_more': 135, u'channels': [], u'display_as_bot': False, u'id': u'F50F08E01', u'size': 4812, u'title': u'host_app_on_amazon_ec2.md', u'url_private': u'https://files.slack.com/files-pri/T1T555TL0-F50F08E01/host_app_on_amazon_ec2.md', u'ims': [], u'preview': u'## 1. Get an Amazon EC2 Instance
1. Go to [Amazon EC2](https://console.aws.amazon.com/ec2)
2. Click on `Launch Instance`.', u'external_type': u'', u'edit_link': u'https://gstudents.slack.com/files/ultramann/F50F08E01/host_app_on_amazon_ec2.md/edit', u'username': u'', u'timestamp': 1492554871, u'public_url_shared': False, u'editable': True, u'preview_highlight': u'<div class=""CodeMirror cm-s-default CodeMirrorServer"" oncopy=""if(event.clipboardData){event.clipboardData.setData('text/plain',window.getSelection().toString().replace(/\u200b/g,''));event.preventDefault();event.stopPropagation();}"">
<div class=""CodeMirror-code"">
<div><pre><span class=""cm-header cm-header-2"">## </span><span class=""cm-header cm-header-2"">1.</span><span class=""cm-header cm-header-2""> </span><span class=""cm-header cm-header-2"">Get</span><span class=""cm-header cm-header-2""> </span><span class=""cm-header cm-header-2"">an</span><span class=""cm-header cm-header-2""> </span><span class=""cm-header cm-header-2"">Amazon</span><span class=""cm-header cm-header-2""> </span><span class=""cm-header cm-header-2"">EC2</span><span class=""cm-header cm-header-2""> </span><span class=""cm-header cm-header-2"">Instance</span></pre></div>
<div><pre>&#8203;</pre></div>
<div><pre><span class=""cm-variable-2"">1. </span><span class=""cm-variable-2"">Go</span><span class=""cm-variable-2""></span><span class=""cm-variable-2""> </span><span class=""cm-variable-2"">to</span><span class=""cm-variable-2""> </span><span class=""cm-link cm-variable-2"">[</span><span class=""cm-link cm-variable-2"">Amazon</span><span class=""cm-link cm-variable-2""> </span><span class=""cm-link cm-variable-2"">EC2</span><span class=""cm-link cm-variable-2"">]</span><span class=""cm-string cm-url cm-variable-2"">(</span><span class=""cm-string cm-url cm-variable-2"">https://console.aws.amazon.com/ec2</span><span class=""cm-string cm-url cm-variable-2"">)</span></pre></div>
<div><pre>&#8203;</pre></div>
<div><pre><span class=""cm-variable-2"">2. </span><span class=""cm-variable-2"">Click</span><span class=""cm-variable-2""></span><span class=""cm-variable-2""> </span><span class=""cm-variable-2"">on</span><span class=""cm-variable-2""> </span><span class=""cm-comment cm-variable-2"">`</span><span class=""cm-comment cm-variable-2"">Launch</span><span class=""cm-comment cm-variable-2""> </span><span class=""cm-comment cm-variable-2"">Instance</span><span class=""cm-comment cm-variable-2"">`</span><span class=""cm-variable-2"">.</span></pre></div>
</div>
</div>
', u'url_private_download': u'https://files.slack.com/files-pri/T1T555TL0-F50F08E01/download/host_app_on_amazon_ec2.md', u'user': u'U1UCK7AAW', u'groups': [u'G34LMLH32'], u'is_public': False, u'pretty_type': u'Markdown (raw)', u'is_external': False, u'mimetype': u'text/plain', u'permalink_public': u'https://slack-files.com/T1T555TL0-F50F08E01-3ef23952e2', u'permalink': u'https://gstudents.slack.com/files/ultramann/F50F08E01/host_app_on_amazon_ec2.md', u'name': u'host_app_on_amazon_ec2.md', u'created': 1492554871, u'lines': 140, u'comments_count': 1, u'mode': u'snippet', u'preview_is_truncated': True}",,,,,,,,,,,,,,,,,,,,,,,,file_share,<@U1UCK7AAW|ultramann> uploaded a file: <https://gstudents.slack.com/files/ultramann/F50F08E01/host_app_on_amazon_ec2.md|host_app_on_amazon_ec2.md> and commented: <!channel> Here's some notes on how to get an app running on aws.,,,"Tuesday, 18 April 2017",message,,1,,U1UCK7AAW,ultramann
25,,,,,"{u'user': u'U365TCNH3', u'ts': u'1492552501.000000'}",,,,,,,,,,,,,,,,,,,,,,,,,,Hiiii! Can someone(s) post or send me the group picture that people's loved ones took at graduation last week? ,,,"Tuesday, 18 April 2017",message,,,,U365TCNH3,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!channel> About a hour and a half till presentations. Get stoked!,,,"Tuesday, 18 April 2017",message,,,,U1UCK7AAW,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good luck with your job search! Hope to see you soon!:slightly_smiling_face:,,,"Tuesday, 18 April 2017",message,,,,U3GD4QSGG,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I did. Good luck with the presenting!,,,"Tuesday, 18 April 2017",message,,,,U3GEBV00H,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Karey, you left?",,,"Tuesday, 18 April 2017",message,,,,U3GD4QSGG,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Take some more after presentations! I'll miss those...,,,"Tuesday, 18 April 2017",message,,,,U3GEBV00H,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great photo! I missed it..:cry:,,,"Tuesday, 18 April 2017",message,,,,U3GD4QSGG,
32,,,,0,,"{u'thumb_480_w': 480, u'reactions': [{u'count': 1, u'name': u'heart_eyes', u'users': [u'U365TCNH3']}], u'image_exif_rotation': 1, u'initial_comment': {u'comment': u'Some of the last survivors...:kissing_heart:', u'created': 1492550320, u'timestamp': 1492550320, u'is_intro': True, u'user': u'U3GEBV00H', u'id': u'Fc50B1HS8Y', u'channel': u''}, u'filetype': u'jpg', u'thumb_800_h': 600, u'thumb_480': u'https://files.slack.com/files-tmb/T1T555TL0-F512PGER2-80bde973c4/image_uploaded_from_ios_480.jpg', u'display_as_bot': False, u'thumb_800_w': 800, u'id': u'F512PGER2', u'size': 450174, u'original_h': 1224, u'thumb_360_w': 360, u'title': u'I'm so tiny!', u'url_private': u'https://files.slack.com/files-pri/T1T555TL0-F512PGER2/image_uploaded_from_ios.jpg', u'thumb_720_h': 540, u'thumb_360': u'https://files.slack.com/files-tmb/T1T555TL0-F512PGER2-80bde973c4/image_uploaded_from_ios_360.jpg', u'thumb_64': u'https://files.slack.com/files-tmb/T1T555TL0-F512PGER2-80bde973c4/image_uploaded_from_ios_64.jpg', u'ims': [], u'thumb_720_w': 720, u'thumb_80': u'https://files.slack.com/files-tmb/T1T555TL0-F512PGER2-80bde973c4/image_uploaded_from_ios_80.jpg', u'thumb_1024_w': 1024, u'thumb_360_h': 270, u'thumb_480_h': 360, u'external_type': u'', u'username': u'', u'thumb_800': u'https://files.slack.com/files-tmb/T1T555TL0-F512PGER2-80bde973c4/image_uploaded_from_ios_800.jpg', u'timestamp': 1492550320, u'public_url_shared': False, u'editable': False, u'thumb_160': u'https://files.slack.com/files-tmb/T1T555TL0-F512PGER2-80bde973c4/image_uploaded_from_ios_160.jpg', u'url_private_download': u'https://files.slack.com/files-pri/T1T555TL0-F512PGER2/download/image_uploaded_from_ios.jpg', u'thumb_1024': u'https://files.slack.com/files-tmb/T1T555TL0-F512PGER2-80bde973c4/image_uploaded_from_ios_1024.jpg', u'user': u'U3GEBV00H', u'groups': [u'G34LMLH32'], u'thumb_960': u'https://files.slack.com/files-tmb/T1T555TL0-F512PGER2-80bde973c4/image_uploaded_from_ios_960.jpg', u'is_public': False, u'pretty_type': u'JPEG', u'is_external': False, u'mimetype': u'image/jpeg', u'permalink_public': u'https://slack-files.com/T1T555TL0-F512PGER2-70dd132a6b', u'permalink': u'https://gstudents.slack.com/files/etownbetty/F512PGER2/image_uploaded_from_ios.jpg', u'name': u'Image uploaded from iOS.jpg', u'created': 1492550320, u'thumb_1024_h': 768, u'thumb_960_h': 720, u'original_w': 1632, u'thumb_960_w': 960, u'comments_count': 1, u'mode': u'hosted', u'thumb_720': u'https://files.slack.com/files-tmb/T1T555TL0-F512PGER2-80bde973c4/image_uploaded_from_ios_720.jpg', u'channels': []}",,,,,,,,,,,,,,,,,,,,,,,,file_share,<@U3GEBV00H|etownbetty> uploaded a file: <https://gstudents.slack.com/files/etownbetty/F512PGER2/image_uploaded_from_ios.jpg|I'm so tiny!> and commented: Some of the last survivors...:kissing_heart:,,,"Tuesday, 18 April 2017",message,,1,2F8471A9-2DDC-4BA2-8F9F-B6728104F34C,U3GEBV00H,etownbetty
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<!channel> Plan for presentations today, 4:00 we'll be gathering in 312. As a reminder, feel free to ping me today to talk about what you're working on/how you're going to present. Creating a good presentation will be very good, not only because you're getting good at talking about data science problems, but also because you'll be able to see your peers talk about their, likely, different approach and learn from that!",,,"Tuesday, 18 April 2017",message,,,,U1UCK7AAW,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"more tickets to see Steve Wozniak speak tomorrow night were released, for any other Apple fan boys/girls
<https://www.eventbrite.com/e/an-evening-with-steve-wozniak-co-founder-of-apple-inc-silk-speaker-series-tickets-30364015588>",,,"Tuesday, 18 April 2017",message,,,,U365TCNH3,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<!channel> Good morning g35 and happy official graduation day! 
A couple of last day of class housekeeping things: 
*Thing 1- Exit Survey* You should have a survey in your inbox from SurveyMonkey asking us for your feedback. Please take a few moments to provide your thoughts around your _entire_ Galvanize experience. As always, if you have additional thoughts to share that you don't want in a feedback form, I'm happy to receive them and pass along constructive criticism. 
*Thing 2- Alumni Slack* Congratulations on completing this journey! I'll be sending individual Slack invites to graduates to join the gAlumni Slack network and your g35DS Alumni channel. Your gStudent slack access (Slackcess?) will be deactivated and this channel will be archived/removed. *Monday April 24*. 
Want some extra credit and an archive of this channel's logs of your very own? Here's a script to create your own archive: <https://gist.github.com/Chandler/fb7a070f52883849de35>
*Thing3*- Lizzy Roberts, our membership manager, will be reaching out to you soon (if not already), to advise you that your 6 month alumni membership period has begun. This isn't a huge change from your day to day. If you have an assigned locker and you want to keep it, however, please make arrangements with the front desk, as we do bill an admin fee for alums. 
Keep an eye out for this messaging, and please don't hesitate to ping me with any questions. 
*Thing 4*- have an AMAZING last day of case studies and go do brilliant things out there.",,,"Tuesday, 18 April 2017",message,,,,U3F1AHRHT,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thanks Cary.  Do we still have a meeting tmr in class at 9?,,,"Tuesday, 18 April 2017",message,,,,U3GPHKJR1,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Also, Iâ€™ll be in all day tomorrow, so if any teams want to sit down and talk about what they did/what they want to do tomorrow/how to talk about it slack me and we can set up at time.",,,"Tuesday, 18 April 2017",message,,,,U1UCK7AAW,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<!channel> Those of you working on the case study. Keep in mind the advice from this morning, to make sure you have energy for tomorrow. Remember, thereâ€™s still app building to be had and presentations to give. Those of you who havenâ€™t sent me info on the repository youâ€™re working out of, get that to me. And for everyone, write down the things youâ€™re thinking about for scope and put it in your repo.",,,"Tuesday, 18 April 2017",message,,,,U1UCK7AAW,
39,,,,,,,,,,,,,,,,,,,,,"[{u'count': 1, u'name': u'slightly_smiling_face', u'users': [u'U1UCK7AAW']}]",,,,,,,,,,<@U1UCK7AAW>  thank you. :slightly_smiling_face:,,,"Monday, 17 April 2017",message,,,,U3GPHKJR1,
40,,,,,,,,,,,,,,,,,U3NGA49SR,,,,,,,,,,,,,,"Ah, nope. I want a github link: ""Can you DM me the repos that you're working out of?"" :stuck_out_tongue_winking_eye:",1492457513,,"Monday, 17 April 2017",message,,,,U1UCK7AAW,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Looking at ROC is one way to quantify the trade off, but doesn't explicitly account for the ""costs"" and ""benefits"". How would you do that? What would you need? Can you get an estimate for that thing?",,,"Monday, 17 April 2017",message,,,,U1UCK7AAW,
42,,,,,"{u'user': u'U3Q82DWV9', u'ts': u'1492461990.000000'}",,,,,,,,,,,,,,,,,,,,,,,,,,"<@U1UCK7AAW> the background blurb mentions trade offs between false positives and negatives. Are we meant to use a provided value for cost of errors, or do we select our own ROC optimization?",,,"Monday, 17 April 2017",message,,,,U3Q82DWV9,
43,,,,,,,,,,,,,,,,,U3NGA49SR,,,,,,,,,,,,,,oh I thought you wanted our location,1492457513,,"Monday, 17 April 2017",message,,,,U3NGA49SR,
44,,,,,,,,,,,,,,,,,U3NGA49SR,,,,,,,,,,,,,,Huh?,1492457513,,"Monday, 17 April 2017",message,,,,U1UCK7AAW,
45,"[{u'channel_name': u'sf_ds_g35', u'is_msg_unfurl': True, u'text': u'Apologies for the delay, but if you wanted the contact info of Jungwon Byun, who came for Fridayâ€™s hiring talk from Upstart: <mailto:jungwon@upstart.com|jungwon@upstart.com>', u'author_link': u'https://gstudents.slack.com/team/kara.lee', u'ts': u'1492447363.263408', u'author_name': u'Kara Lee', u'channel_id': u'G34LMLH32', u'mrkdwn_in': [u'text'], u'author_subname': u'kara.lee', u'fallback': u'[April 17th, 2017 9:42 AM] kara.lee: Apologies for the delay, but if you wanted the contact info of Jungwon Byun, who came for Fridayâ€™s hiring talk from Upstart: <mailto:jungwon@upstart.com|jungwon@upstart.com>', u'author_icon': u'https://secure.gravatar.com/avatar/e6a75c2529598ebf4d4512f213541779.jpg?s=48&d=https%3A%2F%2Fa.slack-edge.com%2F66f9%2Fimg%2Favatars%2Fava_0024-48.png'}]",,,,,,,,,,,G,,,,,,,,,,,,,,,,,,pinned_item,<@U3Q82DWV9|mororke> pinned a message to this channel.,,,"Monday, 17 April 2017",message,,,,U3Q82DWV9,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<@U3GPHKJR1> <!channel> Sometimes you have to make a decision without explicit direction. Be prepared to back up why you made the decision. Welcome to being a data scientist.,,,"Monday, 17 April 2017",message,,,,U1UCK7AAW,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,see my comment above maybe?,,,"Monday, 17 April 2017",message,,,,U3ND5SKJ4,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<@U1UCK7AAW> the â€œpremiumâ€ is a acct_type.  along side the â€œpremiumâ€, there are â€œfrauster_xxxâ€ and there are â€œspammer_xxxâ€.  Are only â€œfauster_xxxâ€ the fraud or are â€œspammer_xxxâ€ also frauds?",,,"Monday, 17 April 2017",message,,,,U3GPHKJR1,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thanks for making me repeat myself :white_frowning_face:,,,"Monday, 17 April 2017",message,,,,U1UCK7AAW,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<@U3GPHKJR1> ""You can use the acct_type to get the label. There are a few different possibilities for this value, but all we care about is fraud or not fraud.""",,,"Monday, 17 April 2017",message,,,,U1UCK7AAW,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<@U1UCK7AAW> Is â€œpremiumâ€ the only non-fraud or is it only things starting with â€œfraudsterâ€?,,,"Monday, 17 April 2017",message,,,,U3GPHKJR1,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!channel> Office hours today until 2:30 pm! Come find me on the first floor :smile:,,,"Monday, 17 April 2017",message,,,,U36C8HHU3,
53,,,,,,,,,,,,,,,,,,,,,,"[{u'user': u'U1UCK7AAW', u'ts': u'1492461819.715437'}, {u'user': u'U3NGA49SR', u'ts': u'1492461888.739425'}, {u'user': u'U1UCK7AAW', u'ts': u'1492462233.866189'}]",3,,,,,,0,,:five:,1492457513,,"Monday, 17 April 2017",message,3,,,U3NGA49SR,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, this is a nudge to make sure that you're using github :stuck_out_tongue_winking_eye:",,,"Monday, 17 April 2017",message,,,,U1UCK7AAW,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!channel> I'm curious where you guys are at :smile: Can you DM me the repos that you're working out of?,,,"Monday, 17 April 2017",message,,,,U1UCK7AAW,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"^ Although some of the graphs here are a little sloppy and I donâ€™t like bullet point writing, I thought this analysis was very good for the translation test",,,"Monday, 17 April 2017",message,,,,U1UC9NH9Q,
